speciesId	compartment	type	initialConcentration	solver	annotation
cyt_cong__PIK3C_	Cytoplasm	Protein	0.00E+00	Deterministic	P42336,P42338,P48736,O00329
cyt_cong__PIK3C__PIK3R_	Cytoplasm	Protein	0.00E+00	Deterministic	P42336,P42338,P48736,O00329,P27986,O00459,Q92569,Q99570
