reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vTL46	kTL46_2	lin	100.0	100.0	100.0	0
vTL47	kTL47_1	lin	0.328	0.328	0.328	0
vTL47	kTL47_2	lin	100.0	100.0	100.0	0
vTL48	kTL48_1	lin	0.0703	0.0703	0.0703	0
vTL48	kTL48_2	lin	100.0	100.0	100.0	0
vTL49	kTL49_1	lin	0.109	0.109	0.109	0
vTL49	kTL49_2	lin	100.0	100.0	100.0	0
vTL50	kTL50_1	lin	0.00802	0.00802	0.00802	0
vTL50	kTL50_2	lin	100.0	100.0	100.0	0
vTL51	kTL51_1	lin	0.0248	0.0248	0.0248	0
vTL51	kTL51_2	lin	100.0	100.0	100.0	0
vTL52	kTL52_1	lin	0.17	0.17	0.17	0
vTL52	kTL52_2	lin	100.0	100.0	100.0	0
vTL53	kTL53_1	lin	0.566	0.566	0.566	0
vTL53	kTL53_2	lin	100.0	100.0	100.0	0
vTL54	kTL54_1	lin	0.0289	0.0289	0.0289	0
vTL54	kTL54_2	lin	100.0	100.0	100.0	0
vTL55	kTL55_1	lin	0.497	0.497	0.497	0
vTL55	kTL55_2	lin	100.0	100.0	100.0	0
vTL56	kTL56_1	lin	0.0712	0.0712	0.0712	0
vTL56	kTL56_2	lin	100.0	100.0	100.0	0
vTL57	kTL57_1	lin	0.0712	0.0712	0.0712	0
vTL57	kTL57_2	lin	100.0	100.0	100.0	0
vTL58	kTL58_1	lin	0.519	0.519	0.519	0
vTL58	kTL58_2	lin	100.0	100.0	100.0	0
vTL59	kTL59_1	lin	0.0531	0.0531	0.0531	0
vTL59	kTL59_2	lin	100.0	100.0	100.0	0
vTL60	kTL60_1	lin	0.00606	0.00606	0.00606	0
vTL60	kTL60_2	lin	100.0	100.0	100.0	0
vTL61	kTL61_1	lin	0.0176	0.0176	0.0176	0
vTL61	kTL61_2	lin	100.0	100.0	100.0	0
vTL62	kTL62_1	lin	0.0332	0.0332	0.0332	0
vTL62	kTL62_2	lin	100.0	100.0	100.0	0
vTL63	kTL63_1	lin	0.0143	0.0143	0.0143	0
vTL63	kTL63_2	lin	100.0	100.0	100.0	0
vTL64	kTL64_1	lin	0.0712	0.0712	0.0712	0
vTL64	kTL64_2	lin	100.0	100.0	100.0	0
vTL65	kTL65_1	lin	0.0332	0.0332	0.0332	0
vTL65	kTL65_2	lin	100.0	100.0	100.0	0
vTL66	kTL66_1	lin	0.0332	0.0332	0.0332	0
vTL66	kTL66_2	lin	100.0	100.0	100.0	0
vTL67	kTL67_1	lin	0.0712	0.0712	0.0712	0
vTL67	kTL67_2	lin	100.0	100.0	100.0	0
vTL68	kTL68_1	lin	0.00392	0.00392	0.00392	0
vTL68	kTL68_2	lin	100.0	100.0	100.0	0
vTL69	kTL69_1	lin	0.0518	0.0518	0.0518	0
vTL69	kTL69_2	lin	100.0	100.0	100.0	0
vTL70	kTL70_1	lin	0.618	0.618	0.618	0
vTL70	kTL70_2	lin	100.0	100.0	100.0	0
vTL71	kTL71_1	lin	0.0302	0.0302	0.0302	0
vTL71	kTL71_2	lin	100.0	100.0	100.0	0
vTL72	kTL72_1	lin	0.0318	0.0318	0.0318	0
vTL72	kTL72_2	lin	100.0	100.0	100.0	0
vTL73	kTL73_1	lin	0.0146	0.0146	0.0146	0
vTL73	kTL73_2	lin	100.0	100.0	100.0	0
vTL74	kTL74_1	lin	0.0111	0.0111	0.0111	0
vTL74	kTL74_2	lin	100.0	100.0	100.0	0
vTL75	kTL75_1	lin	0.00255	0.00255	0.00255	0
vTL75	kTL75_2	lin	100.0	100.0	100.0	0
vTL76	kTL76_1	lin	0.00255	0.00255	0.00255	0
vTL76	kTL76_2	lin	100.0	100.0	100.0	0
vTL77	kTL77_1	lin	0.0975	0.0975	0.0975	0
vTL77	kTL77_2	lin	100.0	100.0	100.0	0
vTL78	kTL78_1	lin	0.00544	0.00544	0.00544	0
vTL78	kTL78_2	lin	100.0	100.0	100.0	0
vTL79	kTL79_1	lin	4.92e-05	4.92e-05	4.92e-05	0
vTL79	kTL79_2	lin	100.0	100.0	100.0	0
vTL80	kTL80_1	lin	0.0273	0.0273	0.0273	0
vTL80	kTL80_2	lin	100.0	100.0	100.0	0
vTL81	kTL81_1	lin	0.014	0.014	0.014	0
vTL81	kTL81_2	lin	100.0	100.0	100.0	0
vTL82	kTL82_1	lin	0.295	0.295	0.295	0
vTL82	kTL82_2	lin	100.0	100.0	100.0	0
vTL83	kTL83_1	lin	0.295	0.295	0.295	0
vTL83	kTL83_2	lin	100.0	100.0	100.0	0
vTL84	kTL84_1	lin	0.0361	0.0361	0.0361	0
vTL84	kTL84_2	lin	100.0	100.0	100.0	0
vTL85	kTL85_1	lin	0.208	0.208	0.208	0
vTL85	kTL85_2	lin	100.0	100.0	100.0	0
vTL86	kTL86_1	lin	1.01	1.01	1.01	0
vTL86	kTL86_2	lin	100.0	100.0	100.0	0
vTL87	kTL87_1	lin	0.00222	0.00222	0.00222	0
vTL87	kTL87_2	lin	100.0	100.0	100.0	0
vTL88	kTL88_1	lin	0.0659	0.0659	0.0659	0
vTL88	kTL88_2	lin	100.0	100.0	100.0	0
vTL89	kTL89_1	lin	0.0387	0.0387	0.0387	0
vTL89	kTL89_2	lin	100.0	100.0	100.0	0
vTL90	kTL90_1	lin	0.238	0.238	0.238	0
vTL90	kTL90_2	lin	100.0	100.0	100.0	0
vTL91	kTL91_1	lin	0.408	0.408	0.408	0
vTL91	kTL91_2	lin	100.0	100.0	100.0	0
vTL92	kTL92_1	lin	0.000811	0.000811	0.000811	0
vTL92	kTL92_2	lin	100.0	100.0	100.0	0
vTL93	kTL93_1	lin	0.146	0.146	0.146	0
vTL93	kTL93_2	lin	100.0	100.0	100.0	0
vTL94	kTL94_1	lin	0.00764	0.00764	0.00764	0
vTL94	kTL94_2	lin	100.0	100.0	100.0	0
vTL95	kTL95_1	lin	0.0204	0.0204	0.0204	0
vTL95	kTL95_2	lin	100.0	100.0	100.0	0
vTL96	kTL96_1	lin	0.126	0.126	0.126	0
vTL96	kTL96_2	lin	100.0	100.0	100.0	0
vTL97	kTL97_1	lin	0.000685	0.000685	0.000685	0
vTL97	kTL97_2	lin	100.0	100.0	100.0	0
vTL98	kTL98_1	lin	0.394	0.394	0.394	0
vTL98	kTL98_2	lin	100.0	100.0	100.0	0
vTL99	kTL99_1	lin	0.165	0.165	0.165	0
vTL99	kTL99_2	lin	100.0	100.0	100.0	0
vTL100	kTL100_1	lin	39.4	39.4	39.4	0
vTL100	kTL100_2	lin	100.0	100.0	100.0	0
vTL101	kTL101_1	lin	5.21	5.21	5.21	0
vTL101	kTL101_2	lin	100.0	100.0	100.0	0
vTL102	kTL102_1	lin	0.000658	0.000658	0.000658	0
vTL102	kTL102_2	lin	100.0	100.0	100.0	0
vTL103	kTL103_1	lin	0.738	0.738	0.738	0
vTL103	kTL103_2	lin	100.0	100.0	100.0	0
vTL104	kTL104_1	lin	0.181	0.181	0.181	0
vTL104	kTL104_2	lin	100.0	100.0	100.0	0
vTL105	kTL105_1	lin	0.123	0.123	0.123	0
vTL105	kTL105_2	lin	100.0	100.0	100.0	0
vTL106	kTL106_1	lin	0.0164	0.0164	0.0164	0
vTL106	kTL106_2	lin	100.0	100.0	100.0	0
vTL107	kTL107_1	lin	0.424	0.424	0.424	0
vTL107	kTL107_2	lin	100.0	100.0	100.0	0
vTL108	kTL108_1	lin	0.371	0.371	0.371	0
vTL108	kTL108_2	lin	100.0	100.0	100.0	0
vTL109	kTL109_1	lin	0.00142	0.00142	0.00142	0
vTL109	kTL109_2	lin	100.0	100.0	100.0	0
vTL110	kTL110_1	lin	0.0153	0.0153	0.0153	0
vTL110	kTL110_2	lin	100.0	100.0	100.0	0
vTL111	kTL111_1	lin	0.00771	0.00771	0.00771	0
vTL111	kTL111_2	lin	100.0	100.0	100.0	0
vTL112	kTL112_1	lin	0.00688	0.00688	0.00688	0
vTL112	kTL112_2	lin	100.0	100.0	100.0	0
vTL113	kTL113_1	lin	0.00688	0.00688	0.00688	0
vTL113	kTL113_2	lin	100.0	100.0	100.0	0
vTL114	kTL114_1	lin	0.0888	0.0888	0.0888	0
vTL114	kTL114_2	lin	100.0	100.0	100.0	0
vTL115	kTL115_1	lin	0.075	0.075	0.075	0
vTL115	kTL115_2	lin	100.0	100.0	100.0	0
vTL116	kTL116_1	lin	0.647	0.647	0.647	0
vTL116	kTL116_2	lin	100.0	100.0	100.0	0
vTL117	kTL117_1	lin	0.0877	0.0877	0.0877	0
vTL117	kTL117_2	lin	100.0	100.0	100.0	0
vTL118	kTL118_1	lin	0.0393	0.0393	0.0393	0
vTL118	kTL118_2	lin	100.0	100.0	100.0	0
vTL119	kTL119_1	lin	0.129	0.129	0.129	0
vTL119	kTL119_2	lin	100.0	100.0	100.0	0
vTL120	kTL120_1	lin	0.37	0.37	0.37	0
vTL120	kTL120_2	lin	100.0	100.0	100.0	0
vTL121	kTL121_1	lin	0.15	0.15	0.15	0
vTL121	kTL121_2	lin	100.0	100.0	100.0	0
vTL122	kTL122_1	lin	0.0557	0.0557	0.0557	0
vTL122	kTL122_2	lin	100.0	100.0	100.0	0
vTL123	kTL123_1	lin	0.0613	0.0613	0.0613	0
vTL123	kTL123_2	lin	100.0	100.0	100.0	0
vTL124	kTL124_1	lin	0.00943	0.00943	0.00943	0
vTL124	kTL124_2	lin	100.0	100.0	100.0	0
vTL125	kTL125_1	lin	0.0124	0.0124	0.0124	0
vTL125	kTL125_2	lin	100.0	100.0	100.0	0
vTL126	kTL126_1	lin	0.00152	0.00152	0.00152	0
vTL126	kTL126_2	lin	100.0	100.0	100.0	0
vTL127	kTL127_1	lin	0.00184	0.00184	0.00184	0
vTL127	kTL127_2	lin	100.0	100.0	100.0	0
vTL128	kTL128_1	lin	0.00184	0.00184	0.00184	0
vTL128	kTL128_2	lin	100.0	100.0	100.0	0
vTL129	kTL129_1	lin	0.0712	0.0712	0.0712	0
vTL129	kTL129_2	lin	100.0	100.0	100.0	0
vTL130	kTL130_1	lin	0.0712	0.0712	0.0712	0
vTL130	kTL130_2	lin	100.0	100.0	100.0	0
vTL131	kTL131_1	lin	0.119	0.119	0.119	0
vTL131	kTL131_2	lin	100.0	100.0	100.0	0
vTL132	kTL132_1	lin	0.0058	0.0058	0.0058	0
vTL132	kTL132_2	lin	100.0	100.0	100.0	0
vTL133	kTL133_1	lin	0.114	0.114	0.114	0
vTL133	kTL133_2	lin	100.0	100.0	100.0	0
vTL134	kTL134_1	lin	0.0712	0.0712	0.0712	0
vTL134	kTL134_2	lin	100.0	100.0	100.0	0
vTL135	kTL135_1	lin	0.0712	0.0712	0.0712	0
vTL135	kTL135_2	lin	100.0	100.0	100.0	0
vTL136	kTL136_1	lin	0.0145	0.0145	0.0145	0
vTL136	kTL136_2	lin	100.0	100.0	100.0	0
vTL137	kTL137_1	lin	0.0757	0.0757	0.0757	0
vTL137	kTL137_2	lin	100.0	100.0	100.0	0
vTL138	kTL138_1	lin	0.0475	0.0475	0.0475	0
vTL138	kTL138_2	lin	100.0	100.0	100.0	0
vTL139	kTL139_1	lin	0.202	0.202	0.202	0
vTL139	kTL139_2	lin	100.0	100.0	100.0	0
vTL140	kTL140_1	lin	0.014	0.014	0.014	0
vTL140	kTL140_2	lin	100.0	100.0	100.0	0
vTL141	kTL141_1	lin	0.0712	0.0712	0.0712	0
vTL141	kTL141_2	lin	100.0	100.0	100.0	0
vTLd1	kTLd1_1	lin	0.0	0.0	0.0	0
vTLd2	kTLd2_1	lin	0.0	0.0	0.0	0
vTLd3	kTLd3_1	lin	0.0	0.0	0.0	0
vTLd4	kTLd4_1	lin	7.7e-05	7.7e-05	7.7e-05	0
vTLd5	kTLd5_1	lin	5.54e-06	5.54e-06	5.54e-06	0
vTLd6	kTLd6_1	lin	5.6e-06	5.6e-06	5.6e-06	0
vTLd7	kTLd7_1	lin	0.0	0.0	0.0	0
vTLd8	kTLd8_1	lin	0.00026	0.00026	0.00026	0
vTLd9	kTLd9_1	lin	6.03e-06	6.03e-06	6.03e-06	0
vTLd10	kTLd10_1	lin	1.21e-05	1.21e-05	1.21e-05	0
vTLd11	kTLd11_1	lin	0.0	0.0	0.0	0
vTLd12	kTLd12_1	lin	0.0	0.0	0.0	0
vTLd13	kTLd13_1	lin	0.0	0.0	0.0	0
vTLd14	kTLd14_1	lin	0.0	0.0	0.0	0
vTLd15	kTLd15_1	lin	0.0	0.0	0.0	0
vTLd16	kTLd16_1	lin	0.0	0.0	0.0	0
vTLd17	kTLd17_1	lin	0.0	0.0	0.0	0
vTLd18	kTLd18_1	lin	0.0	0.0	0.0	0
vTLd19	kTLd19_1	lin	0.0	0.0	0.0	0
vTLd20	kTLd20_1	lin	0.0	0.0	0.0	0
vTLd21	kTLd21_1	lin	0.0	0.0	0.0	0
vTLd22	kTLd22_1	lin	0.0	0.0	0.0	0
vTLd23	kTLd23_1	lin	0.0	0.0	0.0	0
vTLd24	kTLd24_1	lin	0.0	0.0	0.0	0
vTLd25	kTLd25_1	lin	0.0	0.0	0.0	0
vTLd26	kTLd26_1	lin	0.0	0.0	0.0	0
vTLd27	kTLd27_1	lin	0.0	0.0	0.0	0
vTLd28	kTLd28_1	lin	2.69e-06	2.69e-06	2.69e-06	0
vTLd29	kTLd29_1	lin	0.000193	0.000193	0.000193	0
vTLd30	kTLd30_1	lin	2.34e-06	2.34e-06	2.34e-06	0
vTLd31	kTLd31_1	lin	2.86e-05	2.86e-05	2.86e-05	0
vTLd32	kTLd32_1	lin	2.33e-06	2.33e-06	2.33e-06	0
vTLd33	kTLd33_1	lin	5.32e-07	5.32e-07	5.32e-07	0
vTLd34	kTLd34_1	lin	2.86e-05	2.86e-05	2.86e-05	0
vTLd35	kTLd35_1	lin	2.5e-06	2.5e-06	2.5e-06	0
vTLd36	kTLd36_1	lin	2.83e-06	2.83e-06	2.83e-06	0
vTLd37	kTLd37_1	lin	0.000122	0.000122	0.000122	0
vTLd38	kTLd38_1	lin	2.47e-06	2.47e-06	2.47e-06	0
vTLd39	kTLd39_1	lin	1.32e-06	1.32e-06	1.32e-06	0
vTLd40	kTLd40_1	lin	2.1e-06	2.1e-06	2.1e-06	0
vTLd41	kTLd41_1	lin	6.06e-06	6.06e-06	6.06e-06	0
vTLd42	kTLd42_1	lin	2.34e-06	2.34e-06	2.34e-06	0
vTLd43	kTLd43_1	lin	9.25e-06	9.25e-06	9.25e-06	0
vTLd44	kTLd44_1	lin	2.75e-05	2.75e-05	2.75e-05	0
vTLd45	kTLd45_1	lin	0.000128	0.000128	0.000128	0
vTLd46	kTLd46_1	lin	6.42e-05	6.42e-05	6.42e-05	0
vTLd47	kTLd47_1	lin	0.0	0.0	0.0	0
vTLd48	kTLd48_1	lin	0.0	0.0	0.0	0
vTLd49	kTLd49_1	lin	0.0	0.0	0.0	0
vTLd50	kTLd50_1	lin	0.0	0.0	0.0	0
vTLd51	kTLd51_1	lin	0.0	0.0	0.0	0
vTLd52	kTLd52_1	lin	0.0	0.0	0.0	0
vTLd53	kTLd53_1	lin	0.0	0.0	0.0	0
vTLd54	kTLd54_1	lin	1.51e-05	1.51e-05	1.51e-05	0
vTLd55	kTLd55_1	lin	1.04e-05	1.04e-05	1.04e-05	0
vTLd56	kTLd56_1	lin	1.23e-05	1.23e-05	1.23e-05	0
vTLd57	kTLd57_1	lin	0.0	0.0	0.0	0
vTLd58	kTLd58_1	lin	0.0	0.0	0.0	0
vTLd59	kTLd59_1	lin	6.55e-06	6.55e-06	6.55e-06	0
vTLd60	kTLd60_1	lin	6.42e-05	6.42e-05	6.42e-05	0
vTLd61	kTLd61_1	lin	6.55e-06	6.55e-06	6.55e-06	0
vTLd62	kTLd62_1	lin	6.55e-06	6.55e-06	6.55e-06	0
vTLd63	kTLd63_1	lin	2.87e-05	2.87e-05	2.87e-05	0
