speciesId	compartment	initialConcentration	solver
ext_comp__palbociclib_	Extracellular	0.00E+00	Deterministic
cyt_comp_in__palbociclib_	Cytoplasm	0.00E+00	Deterministic
nuc_comp_in__palbociclib_	Nucleus	0.00E+00	Deterministic
nuc_cong__CCND__CDK4__palbociclib_	Nucleus	0.00E+00	Deterministic
