speciesId	compartment	initialConcentration (nM)	solver
cyt_cong__TNF10_1__TNFRSF10_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong_a__TNF10_1__TNFRSF10_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__CFLAR_1_	Cytoplasm	0.525920351400000	Deterministic
cyt_cong_a__TNF10_1__TNFRSF10__CFLAR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong_i__CASP8_	Cytoplasm	26.526380900000000	Deterministic
cyt_cong_a__TNF10_1__TNFRSF10__CASP8_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong_a__CASP8_	Cytoplasm	0.000505186636400	Deterministic
cyt_prot__BFAR_1_	Cytoplasm	0.841153961400000	Deterministic
cyt_cong__CASP8__BFAR_1_	Cytoplasm	0.001306372322000	Deterministic
cyt_cong__CASP3_	Cytoplasm	79.932868200000000	Deterministic
cyt_cong__CASP8__CASP3_	Cytoplasm	0.006376929866000	Deterministic
cyt_cong__cl_CASP3_	Cytoplasm	0.000202565798700	Deterministic
cyt_prot_i__CASP6_	Cytoplasm	47.676629220000000	Deterministic
cyt_cong__CASP3__CASP6_	Cytoplasm	0.000000030500000	Deterministic
cyt_prot_a__CASP6_	Cytoplasm	0.000573320594800	Deterministic
cyt_cong__CASP6__CASP8_	Cytoplasm	0.000000144000000	Deterministic
cyt_prot__XIAP_1_	Cytoplasm	5.269689424000000	Deterministic
cyt_cong__CASP3__XIAP_1_	Cytoplasm	0.000066800000000	Deterministic
cyt_prot__PARP1_1_	Cytoplasm	639.615770500000000	Deterministic
cyt_cong__CASP3__PARP1_1_	Cytoplasm	0.000004060000000	Deterministic
cyt_prot__cl_PARP1_1_	Cytoplasm	1.619665788000000	Deterministic
cyt_prot__BID_1_	Cytoplasm	50.475412010000000	Deterministic
cyt_cong__CASP8__BID_1_	Cytoplasm	0.000073100000000	Deterministic
cyt_prot__cl_BID_1_	Cytoplasm	0.000001600000000	Deterministic
cyt_cong__BCL2_	Cytoplasm	12.480622900000000	Deterministic
cyt_cong__cl_BID_1__BCL2_	Cytoplasm	0.000056200000000	Deterministic
cyt_prot_i__BAX_1_	Cytoplasm	88.226858780000000	Deterministic
cyt_prot__cl_BID_1__BAX_1_	Cytoplasm	0.000000044600000	Deterministic
cyt_prot_a__BAX_1_	Cytoplasm	0.000144180742400	Deterministic
mit_prot_a__BAX_1_	Mitochondria	0.001926774373000	Deterministic
mit_cong__BCL2_	Mitochondria	1.780761749000000	Deterministic
mit_cong__BAX_1__BCL2_	Mitochondria	0.009670088024000	Deterministic
mit_prot_a__BAX_1__BAX_1_	Mitochondria	0.000117383485600	Deterministic
mit_cong__BAX_1__BAX_1__BCL2_	Mitochondria	0.000589123798800	Deterministic
mit_prot_a__BAX_1__BAX_1__BAX_1__BAX_1_	Mitochondria	0.000000436000000	Deterministic
mit_cong__BAX_1__BAX_1__BAX_1__BAX_1__BCL2_	Mitochondria	0.000002190000000	Deterministic
mit_abs_i__pore_	Mitochondria	2259.969091000000000	Deterministic
mit_abs__BAX_1__BAX_1__BAX_1__BAX_1__pore_	Mitochondria	0.000003110000000	Deterministic
mit_abs_a__pore_	Mitochondria	0.000311028415300	Deterministic
mit_prot__CY1_	Mitochondria	15542.589690000000000	Deterministic
mit_abs__pore__CY1_	Mitochondria	0.027792839980000	Deterministic
mit_prot_i__CY1_	Mitochondria	0.277855002800000	Deterministic
mit_prot__DBLOH_1_	Mitochondria	1450.939930000000000	Deterministic
mit_abs__pore__DBLOH_1_	Mitochondria	0.002594531676000	Deterministic
mit_prot_i__DBLOH_1_	Mitochondria	0.020839318580000	Deterministic
cyt_prot__CY1_	Cytoplasm	0.019447280570000	Deterministic
cyt_prot__APAF_1_	Cytoplasm	0.096890420780000	Deterministic
cyt_prot__CY1__APAF_1_	Cytoplasm	0.000002980000000	Deterministic
cyt_prot_a__APAF_1_	Cytoplasm	0.010993387240000	Deterministic
cyt_prot__CASP9_1_	Cytoplasm	3.457423761000000	Deterministic
cyt_prot_a__APAF_1__CASP9_1_	Cytoplasm	0.003099873576000	Deterministic
cyt_cong_a__APAF_1__CASP9_1__CASP3_	Cytoplasm	0.003541869409000	Deterministic
cyt_prot__DBLOH_1_	Cytoplasm	0.001101638753000	Deterministic
cyt_prot_a__APAF_1__CASP9_1__XIAP_1_	Cytoplasm	0.100438130500000	Deterministic
cyt_prot__DBLOH_1__XIAP_1_	Cytoplasm	0.124928575900000	Deterministic
cyt_cong__u_CASP3_	Cytoplasm	2.870304688000000	Deterministic
cyt_prot__BAD_1_	Cytoplasm	0.095079599950000	Deterministic
cyt_prot__BBC3_1_	Cytoplasm	0.029099067810000	Deterministic
cyt_prot__APR_1_	Cytoplasm	0.005557139906000	Deterministic
cyt_cong__BCL2__BAD_1_	Cytoplasm	3.344393378000000	Deterministic
cyt_cong__BCL2__BBC3_1_	Cytoplasm	1.023550054000000	Deterministic
cyt_cong__BCL2__APR_1_	Cytoplasm	0.194362217600000	Deterministic
cyt_prot__B2L11_1_	Cytoplasm	0.060385346510000	Deterministic
cyt_prot__B2L11_1__BAX_1_	Cytoplasm	0.000000084100000	Deterministic
cyt_cong__BCL2__B2L11_1_	Cytoplasm	2.124034525000000	Deterministic
cyt_cong__p_p_ERK__B2L11_1_	Cytoplasm	0.000597003235600	Deterministic
cyt_prot__pS69_B2L11_1_	Cytoplasm	0.105817811500000	Deterministic
cyt_cong__p_p_AKT__BAD_	Cytoplasm	0.000033600000000	Deterministic
cyt_prot__p_BAD_	Cytoplasm	0.891280886400000	Deterministic
cyt_cong__p_p_ERK__BAD_	Cytoplasm	0.000940056929700	Deterministic
exc_prot__EGF_1_	Extracellular	0.000000000000000	Deterministic
exc_prot__NRG1_1_	Extracellular	0.000000000000000	Deterministic
exc_prot__HGF_1_	Extracellular	0.000000000000000	Deterministic
exc_prot__PDGFB_1_	Extracellular	0.000000000000000	Deterministic
exc_cong__FGF_	Extracellular	0.000000000000000	Deterministic
exc_cong__IGF_	Extracellular	0.000000000000000	Deterministic
exc_prot__INS_1_	Extracellular	0.000000000000000	Deterministic
cyt_prot__EGFR_1_	Cytoplasm	50.121959700000000	Deterministic
cyt_prot__pT693_EGFR_1_	Cytoplasm	4.954806943000000	Deterministic
cyt_prot__ERBB2_1_	Cytoplasm	3.805080167000000	Deterministic
cyt_prot__pT701_ERBB2_1_	Cytoplasm	0.376170746200000	Deterministic
cyt_prot__ERBB3_1_	Cytoplasm	1.739750707000000	Deterministic
cyt_prot__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__pT699_ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__MET_1_	Cytoplasm	8.573223223000000	Deterministic
cyt_cong__PGFRB_	Cytoplasm	0.229676008100000	Deterministic
cyt_cong__FGFR_	Cytoplasm	0.186712963500000	Deterministic
cyt_prot__IGF1R_1_	Cytoplasm	0.021814789890000	Deterministic
cyt_prot__INSR_1_	Cytoplasm	0.029796213950000	Deterministic
cyt_prot__EGFR_1__EGFR_1_	Cytoplasm	2.512172788000000	Deterministic
cyt_prot__EGFR_1__ERBB2_1_	Cytoplasm	0.190715185700000	Deterministic
cyt_prot__EGFR_1__ERBB3_1_	Cytoplasm	0.087198393880000	Deterministic
cyt_prot__EGFR_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__ERBB2_1__ERBB2_1_	Cytoplasm	0.014478484560000	Deterministic
cyt_prot__ERBB2_1__ERBB3_1_	Cytoplasm	0.006619809285000	Deterministic
cyt_prot__ERBB2_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__ERBB3_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__ERBB4_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__MET_1__MET_1_	Cytoplasm	0.073499675250000	Deterministic
cyt_cong__FGFR__FGFR_	Cytoplasm	0.000034900000000	Deterministic
cyt_prot__IGF1R_1__IGF1R_1_	Cytoplasm	0.726899086100000	Deterministic
cyt_prot__INSR_1__INSR_1_	Cytoplasm	0.308939855700000	Deterministic
cyt_prot__EGF_1__EGFR_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB3_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__NRG1_1__ERBB4_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__HGF_1__MET_1_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__PDGFB_1__PGFRB_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong__FGF__FGFR_	Cytoplasm	0.000000000000000	Deterministic
cyt_prot__EGF_1__EGFR_1__ERBB2_1_	Cytoplasm	0.000000000000000	Deterministic
