speciesId	compartment	type	initialConcentration	solver	annotation
ext_comp__lapatinib_	Extracellular	Compound	0.00E+00	Deterministic
cyt_comp_in__lapatinib_	Cytoplasm	Compound	0.00E+00	Deterministic
cyt_cong__EGFR_1__lapatinib_	Cytoplasm	Conglomerate	0.00E+00	Deterministic
cyt_cong__ERBB2_1__lapatinib_	Cytoplasm	Conglomerate	0.00E+00	Deterministic
cyt_cong__ERBB4_1__lapatinib_	Cytoplasm	Conglomerate	0.00E+00	Deterministic
