speciesId	compartment	initialConcentration	solver
ext_comp__alpelisib_	Extracellular	0.00E+00	Deterministic
cyt_comp_in__alpelisib_	Cytoplasm	0.00E+00	Deterministic
cyt_cong__PIK3C__alpelisib_	Cytoplasm	0.00E+00	Deterministic
cyt_cong__PIK3C__PIK3R__alpelisib_	Cytoplasm	0.00E+00	Deterministic
