speciesId	compartment	type	initialConcentration	solver	annotation
ext_comp__palbociclib_	Extracellular	Compound	0.00E+00	Deterministic
cyt_comp_in__palbociclib_	Cytoplasm	Compound	0.00E+00	Deterministic
nuc_comp_in__palbociclib_	Nucleus	Compound	0.00E+00	Deterministic
nuc_cong__CCND__CDK4__palbociclib_	Nucleus	Compound	0.00E+00	Deterministic
