speciesId	compartment	initialConcentration	solver
ext_drug__lapatinib_	Extracellular	0.00E+00	Deterministic
cyt_drug__lapatinib_	Cytoplasm	0.00E+00	Deterministic
cyt_cong__lapatinib__EGFR_1_	Cytoplasm	0.00E+00	Deterministic
cyt_cong__lapatinib__ERBB2_1_	Cytoplasm	0.00E+00	Deterministic
cyt_cong__lapatinib__ERBB4_1_	Cytoplasm	0.00E+00	Deterministic
